planes,sats_per_plane,inclination_deg,phase_factor,raan0_deg,phase0_deg,total_satellites,screen_score,min_multiplicity,spacetime_single_ratio,min_point_single_availability,spacetime_double_ratio,min_point_double_availability,max_gap_s,worst_time_index,worst_time_single_ratio,average_multiplicity,min_margin_deg,evaluation
30,42,58.0,7,0.0,0.0,1260,1.1521135416666668,0,0.9582587167527135,0.8263888888888888,0.6826448635948229,0.3611111111111111,1200.0,105,0.9415409249188715,1.9482559746418637,-4.36446872665254,coarse_3deg_600s
32,40,60.0,24,0.0,0.0,1280,1.1487885416666668,0,0.9628627160216069,0.8263888888888888,0.6832356901983556,0.4027777777777778,1200.0,83,0.9413335034596186,1.8545724801279055,-4.36446872665254,coarse_3deg_600s
28,42,55.0,7,0.0,0.0,1176,1.1541254166666668,0,0.9586995216540317,0.8194444444444444,0.6613580864050836,0.2847222222222222,1200.0,94,0.9401591573260872,2.0710827602804516,-4.36446872665254,coarse_3deg_600s
28,43,55.0,21,0.0,0.0,1204,1.1580120833333334,0,0.9643289979890758,0.8194444444444444,0.6977420256331939,0.3263888888888889,1800.0,112,0.9465091130241376,2.121457304807871,-4.36446872665254,coarse_3deg_600s
28,44,55.0,14,0.0,0.0,1232,1.1622893749999998,0,0.9630312925628319,0.8194444444444444,0.7180465368204769,0.375,1200.0,35,0.9393445165139938,2.1681812186397935,-4.36446872665254,coarse_3deg_600s
30,42,58.0,0,0.0,0.0,1260,1.1595354166666667,0,0.9630735473563787,0.8194444444444444,0.6896443694281769,0.3472222222222222,1200.0,142,0.8893785107174519,1.9486062067732932,-4.36446872665254,coarse_3deg_600s
30,40,58.0,15,0.0,0.0,1200,1.138390625,0,0.953861324203204,0.8125,0.6390093791345595,0.3125,1800.0,81,0.9030837464744194,1.8583749441873658,-4.36446872665254,coarse_3deg_600s
30,41,52.0,1,0.0,0.0,1230,1.1647833333333333,0,0.9756092522569789,0.8125,0.7390602145411461,0.3888888888888889,1800.0,69,0.9246153152850382,2.267954578303575,-4.36446872665254,coarse_3deg_600s
28,44,55.0,7,0.0,0.0,1232,1.1608570833333334,0,0.9589284637751287,0.8125,0.71032365454082,0.3611111111111111,1800.0,97,0.9426797914530571,2.1684768468564752,-4.36446872665254,coarse_3deg_600s
28,45,55.0,21,0.0,0.0,1260,1.1609677083333334,0,0.9598548152141425,0.8125,0.7333201094150469,0.375,1200.0,12,0.9401570202526777,2.220059902725437,-4.36446872665254,coarse_3deg_600s
30,42,58.0,15,0.0,0.0,1260,1.1587541666666668,0,0.958162502254075,0.8125,0.6939501857478282,0.3333333333333333,1200.0,33,0.9341372098837206,1.949321691448321,-4.36446872665254,coarse_3deg_600s
41,31,58.0,0,0.0,0.0,1271,1.1522639583333334,0,0.9578614010677651,0.8125,0.6858811224388874,0.3819444444444444,1200.0,60,0.8322689104792087,1.9675703370781734,-4.36446872665254,coarse_3deg_600s
32,40,60.0,0,0.0,0.0,1280,1.1524343750000001,0,0.9570900847882066,0.8125,0.6880566354606894,0.3472222222222222,1800.0,130,0.9173936967435201,1.854702698336266,-4.36446872665254,coarse_3deg_600s
28,46,55.0,14,0.0,0.0,1288,1.17540125,0,0.9707561672783095,0.8125,0.7443466831263061,0.4305555555555556,1200.0,116,0.9428658492114641,2.267755567309151,-4.36446872665254,coarse_3deg_600s
36,33,55.0,9,0.0,0.0,1188,1.1398127083333334,0,0.9403910953987743,0.8055555555555556,0.626397248251676,0.2916666666666667,1200.0,107,0.9233657878989505,2.0920677274868,-4.36446872665254,coarse_3deg_600s
37,33,52.0,27,0.0,0.0,1221,1.1591441666666666,0,0.957324156637401,0.8055555555555556,0.707812456356919,0.4166666666666667,600.0,72,0.9385862664262301,2.250708192958661,-4.36446872665254,coarse_3deg_600s
30,41,58.0,1,0.0,0.0,1230,1.1436895833333334,0,0.9542371805465655,0.8055555555555556,0.6695182241992854,0.3194444444444444,2400.0,124,0.8827450640370491,1.902697349237667,-4.36446872665254,coarse_3deg_600s
39,32,55.0,38,0.0,0.0,1248,1.1560095833333333,0,0.9659037820594103,0.8055555555555556,0.7235670105728218,0.3958333333333333,1200.0,118,0.890820843472915,2.201325148967486,-4.36446872665254,coarse_3deg_600s
35,36,55.0,34,0.0,0.0,1260,1.158103125,0,0.9563007499304962,0.8055555555555556,0.741267037064238,0.4305555555555556,1200.0,103,0.9073080037170318,2.2193638602766605,-4.36446872665254,coarse_3deg_600s
30,42,60.0,22,0.0,0.0,1260,1.14286875,0,0.958345997712834,0.8055555555555556,0.6762304565532733,0.3402777777777778,1800.0,2,0.9408868320020629,1.8256268757535024,-4.36446872665254,coarse_3deg_600s
30,42,60.0,7,0.0,0.0,1260,1.13974375,0,0.9470542065745461,0.8055555555555556,0.6576702708396035,0.3541666666666667,1200.0,69,0.9232640233486276,1.8228051407096322,-4.36446872665254,coarse_3deg_600s
41,31,60.0,0,0.0,0.0,1271,1.1465347916666666,0,0.9550574407077784,0.8055555555555556,0.6477710683196809,0.3472222222222222,1200.0,3,0.8742603008787172,1.8418779970731052,-4.36446872665254,coarse_3deg_600s
32,40,60.0,8,0.0,0.0,1280,1.1470958333333334,0,0.9563022405727284,0.8055555555555556,0.654727224705158,0.3611111111111111,2400.0,138,0.9174039053416039,1.85304458235616,-4.36446872665254,coarse_3deg_600s
